SP;TRAT;H;SLA;LT;LDMC;N;P
OH;Ca;0.6;70.04041451;0.219;0.482;12.17;0.51
OH;Ca;1.1;67.70591208;0.206;0.501;9.23;0.5
OH;Ca;1.8;69.5289039;0.223;0.51;10.77;0.5
OH;Ca;1.77;59.16852339;0.247;0.484;10.77;0.47
OH;Ca;1.81;67.72079208;0.191;0.546;11.05;0.48
OH;Ca;0.9;66.30298669;0.213;0.516;9.51;0.4
OH;Ca;1.9;70.14017629;0.207;0.501;11.19;0.46
KC;C;3.8;55.23332744;0.331;0.402;7.55;0.46
KC;C;1.95;47.64558002;0.342;0.481;7.13;0.41
KC;C;1.8;50.97476856;0.359;0.398;8.81;0.51
KC;C;3.4;55.79518459;0.313;0.399;9.93;0.57
KC;C;2.4;58.00417246;0.287;0.449;7.83;0.51
KC;C;2;55.05542169;0.324;0.396;9.23;0.47
KC;C;2.2;46.67932724;0.379;0.438;6.01;0.36
KC;C;1.78;56.08797327;0.333;0.411;7.69;0.43
KC;C;2.1;48.00103781;0.374;0.421;7.13;0.46
KC;C;1.5;51.80577867;0.339;0.434;6.01;0.4
KC;NP;2.1;55.85542658;0.303;0.382;8.81;0.87
KC;NP;4.1;59.98287416;0.301;0.378;7.27;0.72
KC;NP;1.1;;0.445;0.408;5.45;0.35
KC;NP;1.95;56.91670512;0.349;0.364;6.15;0.71
KC;NP;1.7;52.86073113;0.351;0.377;8.39;0.58
KC;NP;1.35;46.87785723;0.288;0.399;8.67;0.66
KC;NP;1.75;38.16420822;0.325;0.41;7.55;0.6
KC;NP;1.8;;0.282;0.417;8.95;0.62
KC;P;3.4;57.34378177;0.344;0.38;8.39;0.66
KC;P;2.4;60.82814654;0.298;0.396;7.55;0.73
KC;P;1.77;54.21440611;0.351;0.397;6.15;0.83
KC;P;2.6;51.53526541;0.359;0.382;7.69;0.73
KC;P;2.1;61.55465324;0.314;0.412;8.25;0.57
KC;P;1.78;60.57089594;0.296;0.413;6.43;0.61
KC;P;3.4;48.50116861;0.345;0.424;6.85;0.86
KC;P;2.8;56.14502745;0.309;0.411;9.51;0.75
KC;P;2.4;42.72864102;0.372;0.454;8.53;0.65
KC;N;1.85;54.65698133;0.335;0.41;7.55;0.51
KC;N;1.4;52.32903757;0.335;0.429;7.97;0.46
KC;N;2.1;48.56603378;0.334;0.522;6.01;0.36
KC;N;1.23;103.6480987;0.309;0.412;9.09;0.59
KC;N;1.8;54.44213264;0.348;0.404;9.09;0.51
KC;N;2.2;54.33615939;0.308;0.402;8.25;0.48
KC;N;1.3;47.06336179;0.38;0.407;6.15;0.37
KC;N;1.8;64.46944566;0.262;0.376;9.93;0.5
KC;N;1.86;45.40339618;0.359;0.448;8.25;0.47
KC;Ca;1.2;48.19716527;0.395;0.417;5.45;0.38
KC;Ca;3.7;49.53819672;0.376;0.41;5.87;0.37
KC;Ca;3.1;45.71416901;0.391;0.426;5.87;0.4
KC;Ca;2.6;46.4859026;0.374;0.442;7.13;0.44
KC;Ca;2;47.54912548;0.413;0.423;6.43;0.44
KC;Ca;0.9;42.91546872;0.469;0.42;5.73;0.38
KC;Ca;4.1;41.82537399;0.445;0.464;5.59;0.38
KC;Ca;1.8;52.01257573;0.411;0.369;5.73;0.4
KC;Ca;1.5;53.53601695;0.364;0.376;6.57;0.46
CS;N;0.9;61.09881757;0.231;0.5514;16.78;0.69
CS;N;0.7;36.50403226;0.2475;0.541;14.83;0.65
CS;N;0.7;60.28621032;0.267;0.5596;14.27;0.47
CS;N;1.6;54.61866235;NA;0.5118;13.57;0.67
CS;N;0.95;62.23272727;0.2985;0.5096;18.6;0.65
CS;N;1.1;55.9477557;0.3535;0.4971;14.41;0.78
CS;N;1.6;64.26338228;0.29125;0.5126;15.94;0.65
DE;C;0.9;65.22982456;0.27475;0.4995;14.41;0.64
DE;C;1.7;43.70401284;0.2235;0.4565;13.43;0.48
DE;C;1.52;42.76406036;0.2515;0.515;10.07;0.42
DE;C;1;102.7313653;0.2115;0.4341;10.91;0.47
DE;C;1.73;49.28895184;0.23325;0.5079;12.73;0.49
DE;C;0.9;65.40938303;0.28275;NA;12.45;0.47
DE;C;0.8;43.08501315;0.2315;0.4586;15.24;0.58
DE;C;0.7;41.83525836;0.24225;0.4892;12.87;0.51
DE;C;0.6;43.44224924;0.232;0.4629;13.43;0.4
DE;N;1;58.72604066;0.1775;0.3932;17.2;0.55
DE;N;1.1;93.48970457;0.2305;0.3606;16.08;0.88
DE;N;0.7;107.2237762;0.212;0.3268;20.28;1.2
DE;N;0.82;62.23013699;0.262;0.4983;13.01;0.51
DE;N;1.3;120.2002237;0.182;0.302;19.86;1.32
DE;Ca;1.35;70.4359447;0.2785;0.4437;12.73;0.52
DE;Ca;1;84.57678756;0.2765;0.3833;14.13;0.73
DE;Ca;0.7;85.03929867;0.21625;0.4464;8.95;0.27
DE;Ca;1.1;70.51257253;0.25525;0.4494;9.79;0.47
DE;Ca;1.3;59.19949875;0.303;0.4507;9.23;0.46
DE;Ca;1.2;70.19815668;0.27025;0.4495;10.49;0.5
DE;Ca;1.4;76.99071359;0.255;0.4177;11.61;0.47
DE;Ca;1.3;80.79266573;0.2125;0.4616;9.51;0.46
DE;Ca;1.7;65.49249374;0.306;0.4756;9.23;0.49
DE;Ca;1;75.73182101;0.257;0.4595;11.19;0.44
EG;C;2.6;63.64088398;0.21975;0.114;11.05;0.59
EG;C;2.2;72.33509235;0.17975;0.4098;10.49;0.65
EG;C;2.1;82.84785436;0.2105;0.3842;15.24;0.84
EG;C;2.8;63.42800702;0.82225;0.408;14.41;0.65
EG;C;3.5;60.73067076;0.283;0.424;11.75;0.6
EG;C;1.9;75.45711501;0.27725;0.3812;13.29;0.75
EG;C;1.8;71.35325698;0.21625;0.3981;12.87;0.6
EG;C;3.4;62.08235294;0.2605;0.4189;13.01;0.69
EG;N;1.3;90.06096849;0.19425;0.3627;13.99;0.66
EG;N;1.7;90.72913878;0.2085;0.3578;13.01;0.62
EG;N;3.3;84.00272913;0.20275;0.3538;11.75;0.64
EG;N;2.6;73.5358196;0.206;0.3777;14.69;0.71
MG;C;2.3;34.46924177;0.3425;0.4127;12.73;0.57
MG;C;2.7;30.74172185;0.33025;0.4183;13.71;0.6
MG;C;2.3;35.882662;0.2685;0.3799;13.57;0.61
MG;C;1.79;80.30762852;0.27675;0.3539;NA;0.82
MG;C;2.5;56.85873388;0.37325;0.3707;12.73;0.73
MG;C;1.3;108.0399171;0.36625;0.1977;47.41;1.11
MG;C;2;59.0320621;0.30775;0.392;12.87;0.66
MG;C;1.4;69.85595777;0.303;0.3667;NA;0.66
MG;C;1.65;60.50127065;0.32425;0.3837;7.55;0.68
MG;C;2.4;33.04267963;0.35325;0.3869;12.03;0.57
MG;N;1.6;63.425625;0.31;0.3834;13.85;0.75
MG;N;2.7;73.39194423;0.266;0.4057;14.41;0.9
MG;N;2;83.20571749;0.2225;0.3941;16.64;0.87
MG;N;3;87.39665472;0.22;0.3946;18.32;1.03
MG;N;4.5;89.66906475;0.20725;0.4097;NA;1.27
MG;N;4;78.64538515;0.306;0.3278;12.17;0.94
MG;N;3.6;95.22549648;0.287;0.3007;25.73;1.07
MG;N;1.8;79.16038492;0.278;0.3556;12.87;0.85
MG;N;1.79;62.72784215;0.271;0.3865;7.55;0.69
MG;N;1.2;52.7741441;0.31175;0.4949;13.85;0.65
MG;P;1.68;59.83471761;0.347;0.3882;12.87;0.77
MG;P;2.4;60.22652425;0.31975;0.3848;15.66;0.98
MG;P;1;67.42605086;0.28725;0.3942;11.33;1.03
MG;P;1.5;55.19073946;0.3395;0.4408;12.87;0.66
MG;P;1.4;65.42260619;0.3045;0.3961;11.89;0.92
MG;P;1.11;65.1719403;0.308;0.4119;11.75;0.79
MG;P;0.9;72.90416667;0.29425;0.3888;12.17;1.51
MG;P;2.4;55.87482117;0.363;0.4287;11.05;0.67
MG;P;1.1;56.00180505;0.30975;0.4529;13.85;0.74
MG;P;0.86;63.0280303;0.29525;0.4241;11.19;1.01
MG;Ca;1.9;55.14626736;0.3475;0.3955;12.73;0.61
MG;Ca;1.4;58.28921713;0.29975;0.3545;9.51;0.6
MG;Ca;2.3;63.1928544;0.32075;0.3932;12.03;0.63
MG;Ca;1.5;61.86652268;0.384;0.3527;12.31;0.68
MG;Ca;2.1;65.3174689;0.3;0.3849;12.17;0.66
MG;Ca;1.9;71.47928571;0.3555;0.3634;12.31;0.73
MG;Ca;2;66.80012225;0.30025;0.3882;10.77;0.59
MG;Ca;1.7;61.26590757;0.31275;0.4002;10.91;0.59
MG;Ca;3;61.6686747;0.2835;0.4265;11.05;0.59
MG;Ca;1.75;64.51565996;0.3055;0.3922;13.71;0.7
LP;N;1.71;58.98955526;0.231;0.5341;9.65;0.36
LP;N;1.8;53.18838992;0.2665;0.5475;11.61;0.52
LP;N;1.82;48.89607477;0.29225;0.5672;12.03;0.59
LP;N;1.7;53.78794643;0.23225;0.5043;11.75;0.59
LP;N;2.2;53.59728033;0.29075;0.4981;12.87;0.77
LP;N;1.8;54.98595506;0.2295;0.4998;10.63;0.66
LP;N;2.4;75.29033291;0.22125;0.4174;11.47;0.94
LP;Ca;1.5;61.81878307;0.27125;0.4536;8.25;0.52
LP;Ca;1.46;81.05838425;0.208;0.4505;9.09;0.58
LP;Ca;2.3;87.89746544;0.197;0.4006;9.79;0.72
LP;Ca;2.2;59.36713287;0.2615;0.4708;8.11;0.46
LP;Ca;2.3;61.77966102;0.2615;0.4981;8.67;0.65
LP;Ca;2.7;57.56171352;0.271;0.4866;7.97;0.54
LP;Ca;2.3;58.71078431;0.283;0.4402;8.11;0.55
LP;Ca;1.3;56.46481601;0.255;0.488;7.27;0.48
LP;Ca;1;70.86650246;0.21625;0.4892;7.83;0.53
LP;Ca;1.3;60.65716019;0.23275;0.4925;6.71;0.42
LP;NP;1.6;52.11805556;0.29175;0.5024;10.07;1.25
LP;NP;2.6;50.10612691;0.27275;0.4868;9.09;1.49
LP;NP;2;50.2534809;0.27875;0.5012;12.59;1.68
LP;NP;1.9;71.58746988;0.2055;0.4537;12.31;1.41
LP;NP;1.75;66.65756579;0.23725;0.4968;11.05;1.04
LP;NP;1.85;57.01901469;0.272;0.4465;11.33;1.26
LP;NP;1.75;63.04352442;0.252;0.4718;11.33;1.43
SM;C;7.5;32.01961207;0.49825;0.5421;11.33;0.43
SM;C;5.25;37.92216639;0.42375;0.4918;10.35;0.4
SM;C;5.7;34.31913994;0.496;0.4766;12.87;0.64
SM;C;5.1;25.10155652;0.594;0.5398;9.93;0.4
SM;C;2.7;35.15799306;0.444;0.5379;8.11;0.34
SM;C;5.5;50.82767871;0.36075;0.3746;11.05;0.81
SM;C;5.2;24.99390899;0.5495;0.5288;10.63;0.42
SM;C;3.6;28.89011683;0.43825;0.5088;12.45;0.55
SM;C;3.7;28.85749545;0.508;0.5297;11.61;0.48
SM;N;4.3;35.00420547;0.46325;0.4975;15.38;0.6
SM;N;2.2;33.37677466;0.46975;0.5029;15.94;0.62
SM;N;3.6;27.21119622;0.588;0.5089;10.63;0.48
SM;N;3.3;40.04207643;0.40925;0.4316;14.27;0.85
SM;N;3.2;25.94704115;0.53525;0.5328;9.51;0.38
SM;N;4;27.2451494;0.50625;0.525;13.29;0.52
SM;N;4.5;37.7081177;0.408;0.5102;7.69;0.41
SM;N;3;25.28883469;0.5465;0.5756;12.17;0.48
SM;N;3.7;30.01100663;0.4525;0.5328;11.75;0.51
SM;NP;2.5;35.56715141;0.41175;0.4794;11.61;0.7
SM;NP;2.9;44.45711798;0.376;0.4656;11.33;1.02
SM;NP;7;35.06317524;0.401;0.4791;11.75;0.7
SM;NP;4.2;33.57510359;NA;0.4868;10.07;0.69
SM;NP;4;35.53535354;0.44375;0.4805;12.87;0.68
SM;NP;7.4;27.51410478;0.50675;0.5294;12.87;0.56
SM;NP;2.6;51.72763761;0.35625;0.4078;16.92;1.03
SM;NP;5.2;29.97463076;0.54075;0.5059;12.59;0.54
TV;C;7.5;52.99736148;0.361;0.4928;13.43;0.57
TV;C;5.4;67.04836759;0.275;0.4316;20;0.81
TV;C;6.1;44.94942857;0.36325;0.5417;11.33;0.5
TV;C;4.1;53.36477844;0.327;0.4844;16.78;0.62
TV;C;6.5;53.03927273;0.3145;0.5143;12.17;0.55
TV;C;6;51.43345878;0.31525;0.5028;16.08;0.65
TV;C;3.9;44.19218107;0.37;NA;16.64;0.57
TV;C;5.8;42.19178636;0.36025;0.5293;11.05;0.48
TV;C;3.2;54.02625126;0.334;0.4851;16.36;0.67
LD;C;1.8;NA;0.199;0.47;18.04;0.53
LD;C;3.4;86.19444444;0.171;0.517;18.6;0.54
LD;C;2.1;82.06813996;0.198;0.536;20.42;0.75
LD;C;1.82;48.96248025;0.318;0.552;15.38;0.47
LD;C;1;NA;0.278;0.502;22.94;0.76
LD;C;1.77;53.49530686;0.293;0.57;17.62;0.51
LD;C;2;68.31808874;0.244;0.503;13.99;0.5
LD;C;1.78;89.05797101;0.163;0.525;18.74;0.51
LD;C;1.5;106.7074928;0.154;0.459;19.86;0.54
LD;NP;1.33;88.52251023;0.213;0.397;22.66;0.81
LD;NP;1.5;63.38728049;0.23;0.515;21.54;0.64
LD;NP;1.95;71.61935028;0.227;0.504;19.58;0.45
LD;NP;2.2;45.703;0.309;0.552;17.62;0.42
LD;NP;2.8;55.22350091;0.281;0.479;19.02;0.55
LD;NP;2.4;NA;0.27;NA;15.52;0.46
LD;NP;1.9;77.87334594;0.187;0.503;18.88;0.42
LD;P;1.85;95.76499303;0.174;0.506;21.82;0.76
LD;P;1.75;65.27442095;0.252;0.516;21.26;0.63
LD;P;1.4;75.89646134;0.203;0.529;12.03;0.53
LD;P;2.9;NA;0.176;NA;23.36;0.88
LD;P;1.61;70.18538713;0.17;0.483;16.78;0.54
LD;P;1.8;70.64432216;0.197;0.761;20.42;0.81
LD;P;1.28;116.4718482;0.263;0.494;26.01;0.7
LD;P;1.4;46.546706;0.285;0.465;15.1;0.44
LD;P;1.2;65.14334038;0.287;0.775;19.16;0.49
LD;N;1.6;90.69350551;0.226;0.469;16.92;0.52
LD;N;0.7;34.14281336;0.251;0.659;15.94;0.36
LD;N;1.2;77.62308534;0.259;0.579;18.46;0.55
LD;N;1.2;50.97535428;0.3;0.477;18.6;0.42
LD;N;0.7;65.548762;0.222;0.482;18.32;0.54
LD;N;1.7;39.97655105;0.217;0.584;23.64;0.51
LD;N;1.8;102.6928159;0.227;0.553;20.7;0.55
LD;N;1.2;89.01364829;0.256;0.475;17.62;0.47
LD;Ca;1.2;57.28335975;0.274;0.485;17.9;0.39
LD;Ca;3.6;48.82727273;0.283;0.552;16.22;0.34
LD;Ca;2.3;61.11750789;0.245;0.489;17.76;0.37
LD;Ca;2.3;52.51142285;0.26;0.521;18.32;0.47
LD;Ca;1.85;59.85924834;0.216;0.523;23.08;0.56
LD;Ca;2.5;54.38217652;0.262;0.512;19.44;0.51
LD;Ca;1.7;55.51486486;0.259;0.582;15.8;0.44
LD;Ca;2.3;NA;0.228;0.606;15.1;0.45
