SP;TRAT;H;SLA;LT;LDMC;N;P
QP;C;3.6;73.36593707;0.149;0.666;12.87;0.56
QP;C;3.1;59.24798619;0.257;0.481;12.17;0.54
QP;C;2.6;53.86556291;0.26;0.589;9.93;0.41
QP;C;2.1;91.57260274;0.205;0.399;11.89;0.54
QP;C;1.3;93.97447352;0.241;0.402;9.79;0.43
QP;C;3;78.68581818;0.199;0.48;11.33;0.49
QP;C;1.77;86.45147059;0.185;0.482;13.71;0.57
QP;C;2;76.04414716;0.216;0.49;12.03;0.51
QP;C;1.57;84.95846444;0.212;0.505;8.81;0.46
QP;NP;1.85;95.23181818;0.19;0.485;12.03;0.67
QP;NP;2.2;100.1012862;0.183;0.424;11.61;0.56
QP;NP;2;109.243487;0.199;0.428;12.45;0.64
QP;NP;2.1;93.83079268;0.185;0.477;13.85;0.67
QP;NP;2.5;97.29361702;0.182;0.447;13.71;0.64
QP;NP;2.5;138.0460251;0.159;0.357;12.45;0.59
QP;NP;2.4;104.60401;0.221;0.352;11.89;0.63
QP;NP;1.7;74.75899673;0.188;0.508;12.31;0.53
QP;NP;2.2;63.05678793;0.241;0.495;8.67;0.42
QP;NP;2.22;89.77147488;0.226;0.427;11.75;0.57
QP;P;1.7;81.42730978;0.183;0.583;11.89;0.63
QP;P;2.4;71.75021026;0.219;0.507;11.89;0.56
QP;P;1.8;73.91964286;0.211;0.526;11.05;0.57
QP;P;2.5;91.24513173;0.188;0.494;10.63;0.61
QP;P;2.2;59.86836364;0.217;0.541;9.65;1.17
QP;P;3.7;75.94085282;0.205;0.542;12.31;0.62
QP;P;1.8;87.1024735;0.188;0.556;11.05;0.54
QP;P;2.1;65.39319728;0.179;0.759;10.77;0.57
QP;P;3.7;86.18708355;0.199;0.51;12.31;0.77
QP;P;1;67.8459893;0.237;0.542;8.25;0.43
QP;N;1.9;68.09904153;0.214;0.605;9.79;0.45
QP;N;1.9;72.03283582;0.241;0.512;10.63;0.5
QP;N;1.97;74.7806841;0.221;0.506;12.03;0.51
QP;N;1.75;88.05615385;0.19;0.494;10.77;0.51
QP;N;1.8;67.7306525;0.207;0.616;9.93;0.45
QP;N;2.7;69.42026709;0.218;0.585;10.21;0.46
QP;N;1.7;79.56368068;0.197;0.529;10.63;0.44
QP;N;1.75;77.51305131;0.23;0.452;11.89;0.51
QP;N;1.8;84.83961508;0.192;0.469;12.45;0.5
QP;N;2.7;78.56436782;0.199;0.544;11.33;0.52
QP;Ca;2.3;100.9420601;0.181;0.41;9.79;0.47
QP;Ca;1.6;69.38461538;0.203;0.492;9.65;0.49
QP;Ca;1.7;85.94835681;0.191;0.477;8.81;0.43
QP;Ca;1.7;76.05595409;0.247;0.472;8.81;0.43
QP;Ca;2.7;83.50791717;0.237;0.585;8.53;0.42
QP;Ca;2;71.11503532;0.186;0.542;8.25;0.38
QP;Ca;2.1;91.2373247;0.824;0.377;10.77;0.49
QP;Ca;1.7;65.94575622;0.275;0.496;8.39;0.44
QP;Ca;2.2;77.72748005;0.214;0.474;9.51;0.46
QP;Ca;1.75;87.54380883;0.188;0.466;10.63;0.42
CB;C;3;72.44176639;0.175;0.507;12.03;0.68
CB;C;3.5;89.9017038;0.234;0.539;10.21;0.53
CB;C;3.4;58.35294118;0.203;0.549;10.35;0.52
CB;C;4.9;74.25794645;0.182;0.522;8.11;0.46
CB;C;1.75;73.54287458;0.156;0.541;9.37;0.49
CB;C;2.5;57.39907346;0.199;0.525;13.01;0.65
CB;C;2.7;67.47496171;0.181;0.531;11.75;0.57
CB;C;3.2;71.19460203;0.178;0.529;10.63;0.52
CB;C;4.5;76.33923826;0.143;0.521;9.79;0.46
CB;C;4.2;62.63524461;0.159;0.564;11.61;0.54
CB;NP;4.1;69.04303909;0.188;0.477;12.03;0.63
CB;NP;4.3;68.15867347;0.176;0.497;11.61;0.68
CB;NP;2.5;69.23207547;0.179;0.528;12.17;0.63
CB;NP;3.4;70.89075811;0.174;0.507;11.19;0.66
CB;NP;4.6;72.65472524;0.175;0.498;11.47;0.6
CB;NP;4.9;66.60558092;0.168;0.511;9.65;0.57
CB;NP;4.2;73.33108935;0.169;0.516;10.77;0.73
CB;NP;4.5;63.88694818;0.186;0.549;13.85;0.65
CB;NP;4.4;72.07790627;0.183;0.507;12.73;0.65
CB;NP;2;35.89750076;0.144;0.461;14.41;0.76
CB;P;5.5;56.92295131;0.162;0.621;7.97;0.67
